Date,Cumulative hospitalized/Ever hospitalized,Currently_hospitalized,New total hospitalizations,Cumulative in ICU/Ever in ICU,Currently in ICU/Now in ICU,Cumulative on ventilator/Ever on ventilator,currently_on_ventilator
3/7/21,N/A,866,0,N/A,222,N/A,97
3/6/21,N/A,866,0,N/A,222,N/A,97
3/5/21,N/A,866,0,N/A,222,N/A,97
3/4/21,N/A,890,0,N/A,229,N/A,102
3/3/21,N/A,882,0,N/A,234,N/A,100
3/2/21,N/A,959,0,N/A,228,N/A,99
3/1/21,N/A,893,0,N/A,226,N/A,103
2/28/21,N/A,841,0,N/A,195,N/A,93
2/27/21,N/A,841,0,N/A,195,N/A,93
2/26/21,N/A,841,0,N/A,195,N/A,93
2/25/21,N/A,821,0,N/A,186,N/A,86
2/24/21,N/A,855,0,N/A,200,N/A,86
2/23/21,N/A,891,0,N/A,207,N/A,93
2/22/21,N/A,841,0,N/A,225,N/A,93
2/21/21,N/A,860,0,N/A,217,N/A,107
2/20/21,N/A,860,0,N/A,217,N/A,107
2/19/21,N/A,860,0,N/A,217,N/A,107
2/18/21,N/A,877,0,N/A,220,N/A,110
2/17/21,N/A,929,0,N/A,237,N/A,116
2/16/21,N/A,939,0,N/A,240,N/A,123
2/15/21,N/A,957,0,N/A,258,N/A,135
2/14/21,N/A,1024,0,N/A,293,N/A,123
2/13/21,N/A,1024,0,N/A,293,N/A,123
2/12/21,N/A,1024,0,N/A,293,N/A,123
2/11/21,N/A,1061,0,N/A,266,N/A,125
2/10/21,N/A,1175,0,N/A,299,N/A,149
2/9/21,N/A,1175,0,N/A,299,N/A,149
2/8/21,N/A,1211,0,N/A,294,N/A,163
2/7/21,N/A,1296,0,N/A,300,N/A,155
2/6/21,N/A,1296,0,N/A,300,N/A,155
2/5/21,N/A,1296,0,N/A,300,N/A,155
2/4/21,N/A,1376,0,N/A,314,N/A,165
2/3/21,N/A,1376,0,N/A,314,N/A,165
2/2/21,N/A,1404,0,N/A,337,N/A,174
2/1/21,N/A,1409,0,N/A,336,N/A,170
1/31/21,N/A,1479,0,N/A,364,N/A,193
1/30/21,N/A,1479,0,N/A,364,N/A,193
1/29/21,N/A,1479,0,N/A,364,N/A,193
1/28/21,N/A,1536,0,N/A,363,N/A,192
1/27/21,N/A,1594,0,N/A,377,N/A,202
1/26/21,N/A,1638,0,N/A,382,N/A,210
1/25/21,N/A,1668,0,N/A,392,N/A,199
1/24/21,N/A,1843,0,N/A,396,N/A,191
1/23/21,N/A,1843,0,N/A,396,N/A,191
1/22/21,N/A,1843,0,N/A,396,N/A,191
1/21/21,N/A,1907,0,N/A,385,N/A,199
1/20/21,N/A,2077,0,N/A,396,N/A,214
1/19/21,N/A,2055,0,N/A,413,N/A,228
1/18/21,N/A,2140,0,N/A,475,N/A,236
1/17/21,N/A,2222,0,N/A,493,N/A,256
1/16/21,N/A,2222,0,N/A,493,N/A,256
1/15/21,N/A,2222,0,N/A,493,N/A,256
1/14/21,N/A,2238,0,N/A,499,N/A,258
1/13/21,N/A,2246,0,N/A,501,N/A,255
1/12/21,N/A,2443,0,N/A,525,N/A,285
1/11/21,N/A,2396,0,N/A,485,N/A,272
1/10/21,N/A,2480,0,N/A,517,N/A,294
1/9/21,N/A,2480,0,N/A,517,N/A,294
1/8/21,N/A,2480,0,N/A,517,N/A,294
1/7/21,N/A,2578,0,N/A,509,N/A,300
1/6/21,N/A,2657,0,N/A,523,N/A,304
1/5/21,N/A,2758,0,N/A,548,N/A,308
1/4/21,N/A,2698,0,N/A,550,N/A,313
1/3/21,N/A,2758,0,N/A,629,N/A,368
1/2/21,N/A,2758,0,N/A,629,N/A,368
1/1/21,N/A,2758,0,N/A,629,N/A,368
12/31/20,N/A,2758,0,N/A,629,N/A,368
12/30/20,N/A,2758,0,N/A,629,N/A,368
12/29/20,N/A,2906,0,N/A,649,N/A,390
12/28/20,N/A,2811,0,N/A,662,N/A,407
12/27/20,N/A,3108,0,N/A,738,N/A,416
12/26/20,N/A,3108,0,N/A,738,N/A,416
